Region,Gender,SubscriptionType,InternetUsageType,CustomerSupportCalls,ContractType,MonthlyCharges,TotalCharges,CallMinutesPerMonth,InternetGBPerMonth,NumberOfSMSPerMonth,TenureMonths,Age
West,Female,Prepaid,Moderate,High,Yearly,51.01,1045.84,436.27,17.66,83.0,53,65
West,Male,Postpaid,Light,High,Quarterly,70.11,1660.44,525.62,6.68,122.0,43,25
Central,Male,Postpaid,Heavy,Low,Yearly,48.11,1374.81,558.44,28.72,101.0,53,22
East,Other,Prepaid,Moderate,Medium,Quarterly,50.34,1095.85,484.71,25.89,158.0,45,78
South,Other,Postpaid,Heavy,Medium,Quarterly,42.61,1246.21,458.35,33.68,88.0,67,40
West,Female,Prepaid,Moderate,High,Yearly,67.87,1023.79,467.32,34.22,124.0,54,66
Central,Other,Postpaid,Heavy,Medium,Yearly,35.39,1507.63,479.0,25.28,129.0,2,19
North-East,Other,Prepaid,Moderate,Medium,Monthly,29.15,1319.82,415.03,28.11,40.0,15,36
Central,Male,Postpaid,Light,High,Yearly,42.83,598.32,543.18,23.25,133.0,34,73
Central,Other,Prepaid,Heavy,High,Monthly,47.26,777.51,450.99,17.68,107.0,23,24
East,Male,Prepaid,Light,Medium,Monthly,54.94,1297.17,505.8,23.13,24.0,32,73
West,Male,Postpaid,Heavy,Low,Monthly,64.8,955.01,400.04,32.41,126.0,18,68
Central,Male,Prepaid,Light,High,Monthly,47.66,747.17,483.36,28.39,88.0,22,29
Central,Female,Prepaid,Light,Medium,Monthly,36.07,1157.76,610.36,22.8,84.0,5,65
West,Male,Prepaid,Heavy,High,Yearly,59.31,995.04,414.07,30.26,62.0,11,48
East,Other,Prepaid,Heavy,High,Monthly,67.53,798.95,529.83,15.88,124.0,62,26
Central,Other,Postpaid,Moderate,High,Monthly,71.33,1285.15,483.34,26.87,97.0,4,73
South,Male,Prepaid,Light,Low,Quarterly,40.58,1564.49,554.26,38.51,106.0,41,60
North,Male,Prepaid,Moderate,Low,Yearly,22.07,1200.21,395.33,30.88,127.0,37,53
North-East,Male,Prepaid,Moderate,Low,Yearly,54.82,1110.73,604.8,10.7,77.0,53,48
North,Male,Prepaid,Moderate,High,Yearly,47.57,809.9,519.72,23.85,108.0,67,53
North,Male,Postpaid,Light,Low,Quarterly,41.23,1428.22,591.79,44.13,46.0,61,49
East,Other,Postpaid,Light,Medium,Yearly,64.2,1319.04,514.81,20.97,109.0,12,21
Central,Female,Prepaid,Light,Medium,Yearly,72.62,1149.43,626.21,20.89,76.0,46,69
North,Male,Postpaid,Moderate,High,Yearly,51.06,927.17,552.85,38.41,121.0,69,75
North,Male,Prepaid,Light,High,Yearly,44.33,1109.91,421.76,30.17,85.0,17,49
North-East,Female,Postpaid,Heavy,Low,Yearly,22.79,1542.38,592.31,32.54,72.0,13,32
West,Male,Prepaid,Moderate,High,Quarterly,56.8,964.32,569.72,23.37,124.0,22,31
Central,Other,Postpaid,Light,High,Monthly,51.51,713.62,585.75,14.56,72.0,55,19
Central,Other,Prepaid,Light,Low,Monthly,62.35,1537.18,485.97,50.4,70.0,35,65
North-East,Female,Postpaid,Heavy,Low,Monthly,23.76,1135.26,361.46,13.28,120.0,9,18
West,Male,Postpaid,Heavy,High,Yearly,39.96,992.36,464.88,33.79,131.0,25,50
Central,Male,Postpaid,Heavy,Medium,Monthly,46.52,743.45,224.42,22.96,104.0,40,71
South,Other,Prepaid,Light,High,Quarterly,29.08,1013.97,370.69,49.74,108.0,16,41
North-East,Other,Prepaid,Heavy,Low,Quarterly,48.55,784.5,556.51,31.11,137.0,43,42
East,Male,Prepaid,Heavy,Medium,Monthly,55.85,1674.1,442.4,27.58,114.0,14,33
West,Male,Postpaid,Light,Medium,Quarterly,41.04,1141.11,556.42,21.97,30.0,63,32
North-East,Male,Prepaid,Light,High,Monthly,38.29,1465.92,400.61,34.61,82.0,64,20
North,Male,Prepaid,Heavy,High,Monthly,65.39,962.6,363.53,29.25,130.0,52,73
Central,Male,Postpaid,Moderate,Medium,Yearly,68.46,1006.66,339.78,22.42,108.0,55,55
South,Other,Prepaid,Heavy,Low,Quarterly,41.76,1421.91,419.68,19.51,94.0,37,46
South,Other,Postpaid,Light,Medium,Yearly,61.94,768.17,350.6,34.2,76.0,40,19
East,Other,Prepaid,Moderate,Medium,Quarterly,43.89,1101.43,636.31,17.58,89.0,71,20
North-East,Other,Prepaid,Heavy,High,Yearly,29.08,1737.53,384.19,34.95,67.0,27,24
South,Female,Prepaid,Heavy,Medium,Yearly,34.32,948.25,644.8,23.9,68.0,67,44
North-East,Other,Postpaid,Light,Medium,Quarterly,55.9,1049.59,419.48,24.49,98.0,33,64
Central,Male,Prepaid,Heavy,Medium,Yearly,18.52,1215.31,351.31,26.62,108.0,17,18
Central,Other,Postpaid,Heavy,Medium,Monthly,60.39,845.15,513.66,36.93,49.0,26,58
South,Other,Prepaid,Heavy,Low,Yearly,64.16,900.0,345.08,36.59,85.0,10,76
Central,Other,Postpaid,Heavy,Medium,Quarterly,46.61,1100.55,500.04,32.34,80.0,5,38
North-East,Female,Postpaid,Heavy,Low,Yearly,47.77,1028.38,402.29,44.81,112.0,4,29
Central,Other,Postpaid,Heavy,High,Monthly,8.81,1002.8,430.88,8.07,85.0,38,58
North,Other,Postpaid,Light,Medium,Monthly,11.04,1329.91,424.71,35.66,140.0,2,62
North-East,Male,Postpaid,Heavy,Low,Quarterly,38.14,1039.78,466.21,30.44,72.0,2,41
West,Male,Prepaid,Light,Low,Yearly,66.53,983.95,502.11,42.71,131.0,45,77
Central,Male,Prepaid,Moderate,Low,Quarterly,34.6,1399.87,655.49,15.05,76.0,69,24
Central,Male,Prepaid,Moderate,Low,Quarterly,60.08,1055.54,486.47,21.58,97.0,41,41
North-East,Female,Prepaid,Moderate,High,Yearly,53.83,1191.41,450.83,67.96,104.0,56,31
East,Other,Postpaid,Light,High,Yearly,43.46,1070.78,521.01,31.86,82.0,61,65
West,Female,Prepaid,Heavy,High,Yearly,42.6,701.1,441.0,34.65,20.0,68,54
West,Other,Postpaid,Heavy,Low,Monthly,78.37,981.65,328.71,29.41,99.0,57,75
West,Male,Postpaid,Heavy,Low,Yearly,47.03,823.18,375.39,22.11,153.0,52,40
South,Other,Prepaid,Moderate,Medium,Yearly,69.08,310.57,448.06,33.07,91.0,35,28
North,Other,Postpaid,Heavy,Medium,Yearly,64.37,1324.88,530.53,33.93,122.0,56,50
North,Other,Postpaid,Moderate,Low,Monthly,49.41,1185.41,425.32,9.77,61.0,53,33
East,Female,Postpaid,Moderate,High,Yearly,58.32,1122.05,448.96,25.31,112.0,71,67
West,Male,Postpaid,Heavy,Low,Quarterly,56.67,821.98,437.74,25.15,134.0,62,72
West,Male,Postpaid,Moderate,Low,Yearly,73.55,1468.0,685.36,36.61,132.0,42,60
Central,Female,Prepaid,Light,Medium,Yearly,64.32,1123.86,418.09,36.7,119.0,62,45
North-East,Female,Prepaid,Heavy,High,Yearly,65.64,547.89,554.83,37.84,104.0,26,23
South,Female,Prepaid,Heavy,Low,Quarterly,46.22,1040.28,592.79,28.22,127.0,67,23
South,Male,Postpaid,Light,High,Yearly,69.61,893.87,626.94,43.46,93.0,46,61
East,Male,Postpaid,Moderate,Low,Quarterly,49.23,1120.34,343.76,27.9,105.0,26,44
North,Male,Prepaid,Moderate,Medium,Yearly,76.17,716.92,425.56,27.68,107.0,34,20
West,Female,Postpaid,Heavy,Medium,Monthly,76.28,764.64,738.87,43.28,58.0,14,78
North-East,Female,Postpaid,Light,Low,Monthly,65.26,1260.45,368.46,38.91,20.0,48,64
East,Male,Prepaid,Moderate,Medium,Quarterly,53.53,550.09,501.19,34.45,107.0,6,60
South,Other,Postpaid,Moderate,Low,Yearly,29.86,1034.31,485.89,23.66,116.0,20,38
South,Other,Postpaid,Moderate,High,Monthly,43.57,1333.05,357.18,21.34,111.0,66,39
South,Male,Postpaid,Moderate,Medium,Monthly,45.04,787.18,631.81,32.24,37.0,42,76
West,Other,Postpaid,Light,High,Monthly,48.51,697.12,561.13,36.83,99.0,14,46
West,Female,Prepaid,Light,Low,Quarterly,61.43,1592.82,547.87,38.68,153.0,13,27
West,Male,Postpaid,Heavy,High,Yearly,71.67,661.97,595.8,9.84,92.0,45,48
Central,Female,Postpaid,Heavy,Low,Yearly,27.15,1239.82,532.35,14.84,87.0,46,64
North,Other,Prepaid,Moderate,High,Yearly,30.8,808.76,430.13,4.73,174.0,27,69
South,Male,Prepaid,Heavy,High,Yearly,51.43,890.22,446.49,15.98,50.0,26,23
South,Other,Prepaid,Heavy,Medium,Yearly,48.95,720.72,469.23,14.32,128.0,7,74
Central,Female,Prepaid,Moderate,Medium,Monthly,59.0,849.95,554.7,6.67,64.0,51,52
South,Male,Prepaid,Light,Medium,Quarterly,54.51,549.49,523.12,37.24,42.0,50,44
South,Female,Postpaid,Light,Low,Monthly,47.23,1000.01,659.31,25.93,140.0,45,67
West,Female,Prepaid,Heavy,Medium,Monthly,48.25,1868.42,344.92,39.16,64.0,64,39
West,Female,Prepaid,Light,Low,Quarterly,60.78,798.7,557.92,60.0,133.0,9,22
North,Female,Postpaid,Moderate,Low,Yearly,46.74,955.81,347.03,42.88,127.0,54,60
South,Male,Postpaid,Heavy,Low,Quarterly,56.31,722.37,551.94,52.69,56.0,10,77
East,Other,Postpaid,Light,High,Quarterly,70.65,917.59,621.13,26.22,82.0,24,57
South,Other,Prepaid,Moderate,Medium,Yearly,49.39,762.78,585.82,21.38,84.0,52,24
South,Female,Prepaid,Light,High,Monthly,53.02,372.98,533.61,34.09,102.0,33,66
North,Female,Prepaid,Moderate,Low,Monthly,56.72,709.72,754.17,30.23,121.0,62,50
East,Female,Postpaid,Moderate,Low,Quarterly,36.16,701.34,418.64,42.14,106.0,46,53
South,Other,Prepaid,Heavy,Medium,Yearly,42.8,1207.22,481.12,41.87,137.0,30,26
North-East,Male,Postpaid,Heavy,Low,Yearly,61.44,817.07,524.03,26.54,92.0,24,64
North-East,Other,Prepaid,Moderate,Medium,Quarterly,36.3,1025.92,631.7,40.69,59.0,25,28
East,Other,Prepaid,Heavy,Low,Yearly,43.77,789.98,360.11,42.84,184.0,57,32
North-East,Female,Prepaid,Moderate,Low,Monthly,63.82,747.12,481.42,22.67,58.0,40,67
West,Female,Prepaid,Moderate,Medium,Monthly,44.46,1612.09,403.48,32.22,105.0,65,47
West,Male,Postpaid,Light,High,Monthly,55.72,953.48,537.05,30.66,104.0,59,73
East,Female,Prepaid,Heavy,Medium,Quarterly,16.77,1133.64,488.79,26.18,39.0,47,20
South,Female,Postpaid,Moderate,Medium,Monthly,70.86,1418.75,419.05,36.27,141.0,62,79
East,Female,Postpaid,Heavy,Low,Yearly,69.26,1079.22,483.83,12.06,83.0,3,26
North-East,Other,Postpaid,Light,Medium,Monthly,74.46,1151.13,517.25,25.99,82.0,21,56
East,Male,Prepaid,Light,High,Quarterly,46.96,855.4,518.66,32.05,101.0,47,76
North-East,Male,Postpaid,Heavy,Low,Quarterly,59.03,480.44,546.07,19.51,191.0,22,53
West,Other,Prepaid,Moderate,Low,Yearly,41.32,1896.56,482.0,21.96,96.0,8,56
East,Other,Postpaid,Heavy,High,Yearly,74.67,842.22,372.37,32.91,105.0,3,42
Central,Female,Postpaid,Heavy,Low,Yearly,48.29,1633.25,330.76,42.76,96.0,48,22
North-East,Male,Postpaid,Light,Low,Yearly,68.71,1221.54,447.85,38.98,128.0,68,37
Central,Other,Prepaid,Heavy,High,Monthly,44.53,36.36,486.97,32.27,96.0,26,35
West,Other,Prepaid,Heavy,Medium,Monthly,59.2,984.91,564.3,23.34,98.0,27,75
South,Female,Prepaid,Heavy,Low,Yearly,56.17,1291.67,438.94,1.14,120.0,37,66
North-East,Female,Prepaid,Light,Low,Monthly,69.22,1161.61,449.48,22.1,89.0,46,22
South,Male,Postpaid,Moderate,High,Yearly,73.83,540.45,550.88,29.88,101.0,12,78
West,Male,Postpaid,Light,High,Quarterly,35.17,1141.24,618.71,16.25,117.0,20,29
South,Male,Prepaid,Moderate,High,Monthly,35.16,1033.69,512.86,39.86,121.0,56,19
North-East,Female,Prepaid,Moderate,Low,Quarterly,84.54,930.42,513.43,32.25,46.0,45,40
North,Male,Prepaid,Heavy,Low,Yearly,73.39,1139.66,511.78,27.31,99.0,11,74
North-East,Female,Postpaid,Heavy,Low,Monthly,54.78,607.47,439.93,21.43,102.0,50,29
North-East,Male,Prepaid,Light,Medium,Monthly,40.69,623.59,684.04,38.29,83.0,46,74
Central,Female,Postpaid,Heavy,Medium,Monthly,55.54,993.69,465.46,47.55,188.0,12,59
North,Male,Postpaid,Heavy,Low,Quarterly,60.34,1109.19,425.29,33.77,127.0,54,79
North,Other,Prepaid,Heavy,High,Monthly,61.06,883.52,253.1,60.32,105.0,64,79
North,Female,Postpaid,Light,High,Monthly,29.41,1216.76,480.57,47.06,76.0,44,68
North-East,Other,Postpaid,Heavy,High,Yearly,64.53,865.5,609.32,12.63,146.0,40,51
West,Male,Prepaid,Moderate,Medium,Monthly,64.76,1122.1,632.82,12.18,162.0,30,59
North,Female,Postpaid,Light,Low,Yearly,75.99,1476.78,550.06,28.11,134.0,31,33
East,Male,Prepaid,Moderate,Medium,Yearly,69.81,946.8,499.71,46.34,117.0,7,61
South,Female,Postpaid,Moderate,Low,Monthly,80.86,1256.86,455.58,35.25,103.0,7,18
West,Other,Prepaid,Moderate,High,Quarterly,66.46,1101.99,495.95,26.37,113.0,6,67
East,Male,Postpaid,Heavy,Medium,Yearly,38.11,869.06,585.87,29.43,56.0,31,45
North-East,Female,Prepaid,Light,High,Monthly,67.89,882.11,459.45,31.66,91.0,13,79
North-East,Other,Postpaid,Heavy,Medium,Quarterly,41.79,425.44,640.12,17.17,136.0,57,53
East,Other,Postpaid,Heavy,High,Monthly,36.6,611.82,469.36,38.41,58.0,54,49
Central,Other,Prepaid,Heavy,Medium,Quarterly,76.28,1034.35,509.2,38.53,71.0,57,56
Central,Male,Prepaid,Light,High,Monthly,19.23,1004.73,588.58,25.0,103.0,54,56
East,Male,Prepaid,Heavy,Low,Monthly,38.05,1367.89,482.74,19.7,51.0,69,26
Central,Other,Postpaid,Heavy,Medium,Monthly,47.64,805.15,535.32,31.16,102.0,45,78
South,Female,Prepaid,Heavy,High,Yearly,46.34,1203.07,573.59,29.79,97.0,66,69
South,Male,Postpaid,Light,Medium,Yearly,39.14,904.21,466.88,37.97,189.0,24,79
North-East,Male,Postpaid,Light,Medium,Quarterly,43.89,884.31,643.04,34.99,68.0,60,70
Central,Male,Postpaid,Moderate,Medium,Yearly,34.9,1001.44,599.81,23.68,157.0,48,62
North,Other,Postpaid,Moderate,Medium,Yearly,66.6,834.4,480.05,38.64,56.0,9,75
East,Female,Postpaid,Moderate,High,Yearly,71.17,605.74,345.14,31.2,111.0,63,70
South,Male,Postpaid,Light,High,Quarterly,48.33,862.32,508.61,41.83,91.0,49,65
Central,Female,Postpaid,Light,Low,Monthly,71.73,1080.69,395.33,50.03,68.0,27,22
Central,Male,Prepaid,Heavy,High,Yearly,57.99,1068.2,466.87,35.49,110.0,41,41
South,Male,Prepaid,Light,Low,Quarterly,72.32,1243.79,603.34,34.88,77.0,12,62
South,Female,Postpaid,Moderate,Medium,Yearly,55.49,1312.62,421.13,15.98,76.0,57,32
North,Female,Postpaid,Light,Low,Yearly,50.34,682.63,409.68,20.0,107.0,23,35
Central,Female,Postpaid,Heavy,Low,Quarterly,26.11,1354.4,566.07,34.9,100.0,20,69
Central,Other,Prepaid,Moderate,Medium,Yearly,48.42,1066.55,493.36,22.88,97.0,59,70
West,Female,Prepaid,Light,Low,Quarterly,27.41,1178.68,441.27,37.22,123.0,14,35
North-East,Female,Postpaid,Moderate,Low,Quarterly,43.04,716.76,524.86,31.71,72.0,63,51
North,Female,Postpaid,Light,High,Quarterly,57.95,1219.94,511.13,19.26,102.0,32,27
South,Female,Postpaid,Heavy,High,Yearly,49.24,627.95,401.48,14.2,161.0,71,77
South,Female,Postpaid,Moderate,Medium,Yearly,59.56,1291.23,636.62,38.37,148.0,29,33
East,Female,Postpaid,Moderate,Low,Monthly,40.02,1046.62,527.32,37.56,85.0,10,18
North-East,Female,Postpaid,Heavy,Low,Quarterly,69.99,1066.99,537.63,26.6,152.0,64,24
South,Male,Prepaid,Heavy,High,Yearly,45.61,1274.04,506.64,30.66,115.0,9,51
Central,Female,Postpaid,Heavy,Medium,Quarterly,34.69,1217.11,668.69,15.65,88.0,10,35
South,Female,Prepaid,Moderate,Medium,Yearly,69.82,1344.89,693.1,39.02,21.0,40,77
Central,Female,Postpaid,Light,Medium,Monthly,62.61,1143.48,554.43,28.37,83.0,34,34
Central,Female,Prepaid,Heavy,Low,Yearly,54.37,1427.68,538.16,24.29,103.0,23,70
North,Female,Prepaid,Moderate,Medium,Monthly,65.99,1048.0,392.46,53.01,52.0,29,44
South,Male,Prepaid,Heavy,High,Monthly,65.07,966.32,688.04,25.87,106.0,18,57
North,Other,Postpaid,Light,Medium,Monthly,27.66,872.9,329.16,28.34,132.0,70,38
North-East,Female,Prepaid,Light,Medium,Quarterly,92.07,839.7,381.88,21.88,91.0,14,76
Central,Male,Postpaid,Light,Medium,Yearly,52.41,1258.37,484.98,36.05,92.0,71,33
North-East,Other,Prepaid,Light,Medium,Monthly,53.2,610.52,614.89,38.14,136.0,51,24
South,Female,Prepaid,Light,Medium,Monthly,27.44,1143.47,600.88,18.56,120.0,37,72
North-East,Male,Prepaid,Light,Low,Monthly,38.71,1065.1,571.28,22.37,135.0,2,63
North-East,Other,Postpaid,Moderate,Low,Yearly,58.34,740.08,548.83,24.45,103.0,16,64
South,Other,Postpaid,Moderate,Low,Yearly,46.39,1314.28,536.7,29.36,130.0,25,30
North,Other,Postpaid,Heavy,Medium,Quarterly,61.95,714.81,524.66,29.96,89.0,15,77
North,Other,Postpaid,Heavy,Low,Quarterly,52.64,1296.6,304.63,29.39,126.0,40,75
Central,Other,Postpaid,Heavy,Low,Quarterly,63.27,800.82,508.48,28.99,126.0,70,46
Central,Male,Prepaid,Heavy,Medium,Quarterly,68.14,854.37,444.23,21.82,62.0,16,55
South,Female,Postpaid,Light,High,Yearly,42.22,1136.25,561.61,53.62,109.0,8,56
South,Other,Prepaid,Heavy,Low,Monthly,23.97,865.35,557.39,24.29,109.0,59,41
West,Male,Prepaid,Heavy,Medium,Quarterly,56.89,1125.17,578.59,12.95,82.0,38,23
West,Female,Prepaid,Light,High,Quarterly,46.64,1171.1,257.55,19.69,88.0,43,47
East,Male,Prepaid,Light,Low,Yearly,61.4,961.57,508.67,28.06,77.0,51,37
Central,Male,Postpaid,Light,Low,Monthly,56.25,1498.6,389.44,41.88,121.0,23,21
North-East,Other,Postpaid,Light,High,Yearly,63.08,1318.66,380.99,39.38,35.0,27,74
East,Female,Postpaid,Light,Medium,Monthly,58.24,714.94,447.29,31.43,148.0,27,61
East,Male,Prepaid,Moderate,Medium,Monthly,64.03,1297.95,473.67,32.4,125.0,35,35
North,Female,Postpaid,Moderate,Low,Yearly,34.09,925.78,455.45,19.21,122.0,53,60
North-East,Other,Postpaid,Heavy,Medium,Quarterly,62.21,790.48,613.98,32.13,70.0,53,45
North,Female,Postpaid,Heavy,Low,Monthly,54.27,711.58,491.05,28.35,119.0,48,42
West,Other,Prepaid,Heavy,Medium,Monthly,37.88,1254.91,427.72,27.59,71.0,55,79
East,Male,Prepaid,Moderate,Low,Yearly,47.28,951.63,324.24,29.78,97.0,48,72
West,Female,Postpaid,Moderate,High,Quarterly,83.63,980.25,393.0,41.12,118.0,69,48
North-East,Female,Prepaid,Heavy,Medium,Quarterly,54.66,867.33,561.89,25.04,92.0,16,34
North-East,Other,Postpaid,Heavy,Low,Quarterly,61.9,922.33,416.16,21.64,80.0,70,76
Central,Other,Postpaid,Light,Medium,Monthly,40.22,985.83,517.84,22.91,118.0,48,50
South,Female,Postpaid,Light,High,Quarterly,45.58,1048.98,460.37,30.16,72.0,29,47
North,Male,Prepaid,Moderate,Low,Yearly,50.22,1715.07,555.5,43.3,120.0,26,32
Central,Male,Postpaid,Heavy,Low,Monthly,59.86,943.45,658.22,32.41,60.0,45,63
Central,Male,Postpaid,Light,Medium,Quarterly,22.25,1020.14,531.17,47.9,65.0,32,22
North,Male,Prepaid,Light,Low,Monthly,70.57,381.79,476.3,41.56,77.0,48,72
North,Other,Prepaid,Moderate,Medium,Yearly,46.45,753.66,533.45,21.72,98.0,61,61
North-East,Other,Postpaid,Heavy,Low,Yearly,34.56,402.49,511.98,29.08,83.0,38,29
North-East,Male,Postpaid,Light,Low,Yearly,43.96,1492.43,503.6,27.43,77.0,63,54
East,Male,Prepaid,Heavy,High,Yearly,71.34,1675.29,670.31,36.37,93.0,57,77
West,Female,Prepaid,Heavy,Low,Yearly,56.45,1075.77,524.07,18.8,80.0,14,53
North-East,Other,Postpaid,Light,Low,Yearly,49.32,1014.83,652.85,27.58,109.0,69,49
Central,Male,Postpaid,Heavy,Low,Monthly,46.43,1235.54,421.06,31.71,86.0,71,71
East,Male,Postpaid,Moderate,Low,Yearly,29.4,1274.64,389.1,23.95,91.0,68,22
East,Female,Prepaid,Heavy,Low,Monthly,34.21,224.07,513.57,25.51,95.0,35,43
Central,Male,Prepaid,Moderate,Low,Yearly,48.58,1084.2,456.72,33.25,134.0,14,72
North-East,Female,Postpaid,Light,High,Quarterly,65.23,1342.37,495.34,23.25,74.0,59,44
Central,Other,Postpaid,Light,High,Monthly,42.13,1100.71,520.57,36.63,131.0,43,55
South,Male,Prepaid,Light,Medium,Yearly,67.05,576.36,408.23,33.57,107.0,52,28
North-East,Male,Postpaid,Moderate,High,Yearly,43.92,910.61,329.81,24.71,67.0,24,72
West,Female,Postpaid,Light,High,Yearly,41.64,662.04,612.75,14.82,104.0,2,60
Central,Female,Postpaid,Moderate,Medium,Quarterly,48.58,941.42,433.22,30.4,81.0,63,43
North-East,Male,Prepaid,Light,Low,Quarterly,47.68,716.09,617.77,38.64,70.0,6,61
North,Other,Postpaid,Heavy,Low,Monthly,74.41,423.4,402.52,32.61,156.0,54,56
South,Male,Prepaid,Heavy,Medium,Quarterly,40.36,1647.59,545.59,26.03,117.0,27,47
West,Female,Prepaid,Light,High,Monthly,38.05,735.02,418.86,45.09,101.0,49,49
North-East,Other,Postpaid,Heavy,Low,Yearly,37.59,1146.79,571.9,20.98,99.0,22,46
North,Male,Postpaid,Light,Low,Quarterly,64.24,1125.8,516.97,32.07,68.0,57,75
North-East,Other,Prepaid,Light,Low,Quarterly,16.55,1370.96,458.29,32.92,103.0,43,34
North,Female,Postpaid,Heavy,Low,Quarterly,43.36,579.26,455.5,17.74,133.0,35,27
West,Female,Prepaid,Moderate,Medium,Quarterly,31.23,855.26,613.82,35.08,105.0,52,75
South,Female,Prepaid,Moderate,Low,Monthly,63.41,994.56,627.59,20.17,111.0,46,26
North,Male,Postpaid,Light,High,Monthly,63.85,1762.9,506.22,20.56,32.0,34,67
East,Other,Postpaid,Heavy,High,Monthly,81.14,1024.97,439.66,39.74,81.0,69,62
West,Other,Postpaid,Heavy,Medium,Quarterly,56.84,1419.17,512.55,36.77,118.0,17,32
West,Female,Prepaid,Heavy,Medium,Monthly,52.59,1476.55,472.93,39.3,91.0,1,21
Central,Male,Prepaid,Light,Medium,Yearly,32.53,941.81,494.64,42.79,124.0,4,34
South,Female,Prepaid,Moderate,Low,Monthly,54.95,1412.26,413.74,27.36,133.0,53,40
East,Female,Postpaid,Heavy,Low,Monthly,22.69,1008.28,503.09,33.02,90.0,41,23
East,Male,Postpaid,Heavy,Low,Yearly,61.14,564.21,525.68,40.6,88.0,10,70
Central,Female,Postpaid,Heavy,Low,Quarterly,53.23,1015.06,575.2,41.57,125.0,12,25
North,Other,Postpaid,Heavy,Medium,Yearly,45.39,1267.14,271.55,45.97,106.0,52,25
North,Male,Postpaid,Moderate,Low,Quarterly,42.6,1118.01,489.76,36.9,137.0,69,60
East,Male,Prepaid,Moderate,Medium,Monthly,33.86,546.74,444.69,33.38,110.0,45,67
South,Female,Postpaid,Heavy,High,Yearly,40.54,1264.42,499.07,18.39,98.0,71,38
North,Male,Prepaid,Heavy,Low,Monthly,72.83,689.16,576.98,27.55,191.0,71,58
West,Female,Prepaid,Heavy,Medium,Yearly,57.34,1242.91,610.63,30.36,143.0,11,56
North-East,Female,Prepaid,Light,Medium,Quarterly,39.85,820.16,545.12,23.49,132.0,45,66
Central,Female,Prepaid,Light,High,Yearly,71.94,1492.15,660.32,33.32,74.0,47,76
South,Female,Postpaid,Light,High,Quarterly,52.0,823.7,566.1,41.91,139.0,33,22
North,Other,Prepaid,Light,Medium,Yearly,36.03,1153.41,524.16,21.91,156.0,70,46
North-East,Female,Prepaid,Moderate,High,Yearly,51.36,493.93,684.92,21.47,55.0,52,72
East,Male,Prepaid,Heavy,High,Quarterly,30.12,1291.07,569.43,17.26,61.0,22,60
Central,Female,Postpaid,Heavy,Low,Quarterly,33.8,1583.34,512.34,41.87,93.0,34,65
North,Female,Prepaid,Heavy,Low,Monthly,40.82,552.01,339.09,26.66,155.0,16,44
East,Female,Prepaid,Light,Medium,Quarterly,22.59,998.17,491.96,21.43,58.0,59,38
North,Other,Postpaid,Moderate,Medium,Yearly,49.88,1586.21,334.57,14.88,82.0,26,29
Central,Female,Postpaid,Light,Medium,Quarterly,32.66,690.2,482.3,17.02,71.0,54,38
West,Female,Prepaid,Moderate,High,Quarterly,35.33,611.79,410.95,48.15,114.0,55,29
West,Male,Prepaid,Moderate,High,Quarterly,77.21,1273.81,566.35,28.89,96.0,50,64
North-East,Other,Postpaid,Moderate,Low,Quarterly,75.36,1170.27,502.64,33.65,101.0,10,53
East,Male,Postpaid,Light,High,Yearly,50.02,793.05,723.55,18.25,43.0,50,51
West,Female,Prepaid,Light,Low,Monthly,41.39,1354.65,460.66,15.99,138.0,34,32
Central,Male,Postpaid,Heavy,Medium,Monthly,70.29,623.26,487.47,34.75,138.0,57,79
East,Male,Prepaid,Moderate,High,Yearly,55.57,1373.62,516.91,11.94,139.0,23,63
North,Other,Prepaid,Moderate,Medium,Yearly,65.16,902.92,632.0,33.49,82.0,2,37
South,Other,Postpaid,Moderate,Medium,Quarterly,49.77,1266.07,593.61,28.15,82.0,23,46
North,Other,Postpaid,Heavy,Medium,Yearly,35.39,1340.02,539.97,41.99,148.0,25,39
Central,Male,Postpaid,Light,Medium,Quarterly,58.15,851.35,527.88,42.78,136.0,50,19
North-East,Other,Prepaid,Moderate,Low,Yearly,27.93,1004.65,488.23,26.32,93.0,27,78
East,Male,Prepaid,Heavy,Low,Quarterly,27.52,1536.7,517.48,31.42,113.0,28,71
North,Male,Postpaid,Heavy,Low,Monthly,102.52,1177.94,466.35,24.72,47.0,30,64
East,Female,Postpaid,Light,Low,Quarterly,38.36,1606.56,417.53,16.74,49.0,22,58
West,Male,Postpaid,Moderate,Low,Yearly,47.01,702.35,623.59,23.46,71.0,58,65
South,Female,Postpaid,Moderate,High,Yearly,67.04,531.86,504.29,20.32,131.0,44,54
Central,Male,Postpaid,Moderate,High,Quarterly,55.03,871.54,575.75,30.7,71.0,36,75
North,Female,Postpaid,Moderate,High,Quarterly,61.56,876.29,602.71,20.75,107.0,50,52
South,Other,Prepaid,Light,High,Quarterly,61.73,1219.7,682.24,25.43,127.0,62,61
Central,Female,Postpaid,Moderate,Medium,Monthly,44.44,1720.45,569.8,31.7,140.0,23,53
Central,Male,Postpaid,Heavy,High,Quarterly,69.34,1439.46,546.52,19.03,132.0,17,75
North-East,Female,Postpaid,Light,Medium,Yearly,59.47,1345.09,458.63,37.64,12.0,36,52
West,Female,Postpaid,Moderate,Medium,Monthly,54.95,1380.32,497.3,52.63,101.0,47,51
